编号	id	text	翻譯	"""keyed"""	"""domain"""	"""facet"""	參考序號	参考翻译	"""keyed"""	"""domain"""
146							51	把谈话带到一个高水平的交谈		
147							52	把事情搞得一团糟		
148							53	对事物充满怀疑	plus	N
149							54	留在不被注意的人群中		
150							58	很少感到忧郁	minus	N
151							61	不容易因某事产生焦躁的情绪	minus	N
152							62	立刻把杂事处理好		
153							63	与他人针锋相对		
154							64	不容易感到沮丧	minus	N
155							66	很容易感受到被威胁	plus	N
156							67	想事情不透彻		
157							68	避免与他人的接触		
158							69	关注细节		
159							71	推卸责任		
160							72	话不多		
161							73	很少生气	minus	N
162							74	躲避他人		
163							75	平等待人		
164							76	平易近人		
165							77	使人愉悦		
166							79	沉默寡言		
							80	不喜欢艺术		
